no ,year,YEN,POUND
1,1990M01,144.15,1.6828
2,1990M02,148.4,1.6847
3,1990M03,157.2,1.6428
4,1990M04,159.35,1.636
5,1990M05,151.7,1.682
6,1990M06,152.9,1.7418
7,1990M07,147.35,1.8527
8,1990M08,144.25,1.9005
9,1990M09,137.8,1.8735
10,1990M10,129.35,1.9455
11,1990M11,133.35,1.9372
12,1990M12,134.4,1.928
13,1991M01,131.2,1.9615
14,1991M02,132,1.9185
15,1991M03,141,1.7355
16,1991M04,137.4,1.709
17,1991M05,137.9,1.7105
18,1991M06,137.9,1.6215
19,1991M07,137.8,1.6845
20,1991M08,137.15,1.687
21,1991M09,132.85,1.7525
22,1991M10,130.9,1.7415
23,1991M11,130.05,1.76
24,1991M12,125.2,1.8707
25,1992M01,125.75,1.7842
26,1992M02,129.28,1.76
27,1992M03,133.2,1.7392
28,1992M04,133.5,1.7672
29,1992M05,128.25,1.8205
30,1992M06,125.5,1.898
31,1992M07,127.2,1.9193
32,1992M08,122.9,1.9826
33,1992M09,119.2,1.7827
34,1992M10,123.2,1.569
35,1992M11,124.7,1.5048
36,1992M12,124.75,1.512
37,1993M01,124.6,1.5022
38,1993M02,117.7,1.4262
39,1993M03,116.35,1.5035
40,1993M04,111.15,1.5745
41,1993M05,106.497,1.5587
42,1993M06,106.75,1.5087
43,1993M07,105.9,1.4807
44,1993M08,104.2,1.4973
45,1993M09,105.15,1.5107
46,1993M10,108.2,1.4867
47,1993M11,108.95,1.4865
48,1993M12,111.85,1.4812
49,1994M01,109.9,1.4981
50,1994M02,104.15,1.487
51,1994M03,103.15,1.4822
52,1994M04,102.5,1.5095
53,1994M05,104.47,1.5102
54,1994M06,99.05,1.5402
55,1994M07,99.75,1.5263
56,1994M08,99.55,1.534
57,1994M09,98.45,1.5797
58,1994M10,97.38,1.622
59,1994M11,98.92,1.5625
60,1994M12,99.74,1.5625
61,1995M01,98.55,1.593
62,1995M02,97.05,1.579
63,1995M03,89.35,1.613
64,1995M04,83.75,1.6125
65,1995M05,83.2,1.604
66,1995M06,84.6,1.594
67,1995M07,88.43,1.6025
68,1995M08,99.1,1.5525
69,1995M09,98.3,1.58
70,1995M10,101.7,1.5746
71,1995M11,101.55,1.5345
72,1995M12,102.83,1.55
73,1996M01,107.25,1.5067
74,1996M02,104.7,1.533
75,1996M03,106.28,1.5254
76,1996M04,104.8,1.5081
77,1996M05,108.2,1.5383
78,1996M06,109.42,1.5485
79,1996M07,107.92,1.558
80,1996M08,108.44,1.5572
81,1996M09,110.97,1.5622
82,1996M10,113.8,1.6282
83,1996M11,113.77,1.6825
84,1996M12,116,1.698
85,1997M01,122,1.602
86,1997M02,120.78,1.6298
87,1997M03,124.05,1.6293
88,1997M04,126.85,1.6294
89,1997M05,116.45,1.6393
90,1997M06,114.4,1.6633
91,1997M07,118.25,1.6364
92,1997M08,119.35,1.6228
93,1997M09,121,1.6132
94,1997M10,119.95,1.6733
95,1997M11,127.55,1.6769
96,1997M12,129.95,1.6538
97,1998M01,126.9,1.6382
98,1998M02,127.25,1.6444
99,1998M03,132.05,1.6801
100,1998M04,132.3,1.6706
101,1998M05,139.05,1.6302
102,1998M06,140.85,1.6627
103,1998M07,143.7,1.6378
104,1998M08,141.46,1.6521
105,1998M09,135.25,1.6955
106,1998M10,116.4,1.6773
107,1998M11,123.65,1.6521
108,1998M12,115.6,1.6635
109,1999M01,116.2,1.6474
110,1999M02,119.4,1.6021
111,1999M03,120.4,1.6115
112,1999M04,119.33,1.6125
113,1999M05,121.42,1.6042
114,1999M06,121.1,1.5749
115,1999M07,115.2,1.619
116,1999M08,110.82,1.6037
117,1999M09,106.85,1.6465
118,1999M10,104.85,1.634
119,1999M11,102.5,1.5945
120,1999M12,102.2,1.6164
121,2000M01,106.85,1.6237
122,2000M02,110.18,1.5927
123,2000M03,105.85,1.5951
124,2000M04,106.55,1.5681
125,2000M05,106.65,1.4948
126,2000M06,105.4,1.5122
127,2000M07,109.5,1.4982
